,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
133,4,201807ウィンブルドン,ニック・キリオス,1.0,1,圭,×,1,b,181,,40,15,Deuce,0,1
134,5,201807ウィンブルドン,ニック・キリオス,1.0,1,圭,○,1,c,178,,40,30,Ad,1,0
135,12,201807ウィンブルドン,ニック・キリオス,1.0,2,霧,×,1,c,217,,0,0,Deuce,0,1
136,13,201807ウィンブルドン,ニック・キリオス,1.0,2,霧,○,2,w,162,,0,15,Ad,1,0
137,14,201807ウィンブルドン,ニック・キリオス,1.0,2,霧,○,1,c,214,,15,15,Deuce,1,0
138,15,201807ウィンブルドン,ニック・キリオス,1.0,2,霧,○,2,w,149,,30,15,Ad,1,0
139,16,201807ウィンブルドン,ニック・キリオス,1.0,2,霧,×,1,c,210,,40,15,Deuce,0,1
140,17,201807ウィンブルドン,ニック・キリオス,1.0,2,霧,○,1,w,196,,40,30,Ad,1,0
141,30,201807ウィンブルドン,ニック・キリオス,1.0,3,圭,○,1,c,189,,0,0,Deuce,1,0
142,31,201807ウィンブルドン,ニック・キリオス,1.0,3,圭,○,1,w,191,,15,0,Ad,1,0
143,32,201807ウィンブルドン,ニック・キリオス,1.0,3,圭,○,1,c,189,,30,0,Deuce,1,0
144,33,201807ウィンブルドン,ニック・キリオス,1.0,3,圭,○,1,b,,,40,0,Ad,1,0
145,50,201807ウィンブルドン,ニック・キリオス,1.0,4,霧,×,1,w,143,,0,0,Deuce,0,1
146,51,201807ウィンブルドン,ニック・キリオス,1.0,4,霧,○,1,c,202,,0,15,Ad,1,0
147,52,201807ウィンブルドン,ニック・キリオス,1.0,4,霧,×,1,c,217,,15,15,Deuce,0,1
148,53,201807ウィンブルドン,ニック・キリオス,1.0,4,霧,×,2,w,125,,15,30,Ad,0,1
149,54,201807ウィンブルドン,ニック・キリオス,1.0,4,霧,×,1,c,214,Ac,15,40,Deuce,0,1
150,76,201807ウィンブルドン,ニック・キリオス,1.0,5,圭,○,2,c,154,,0,0,Deuce,1,0
151,77,201807ウィンブルドン,ニック・キリオス,1.0,5,圭,○,1,c,185,,15,0,Ad,1,0
152,78,201807ウィンブルドン,ニック・キリオス,1.0,5,圭,○,1,b,178,,30,0,Deuce,1,0
153,79,201807ウィンブルドン,ニック・キリオス,1.0,5,圭,×,1,w,162,,40,0,Ad,0,1
154,80,201807ウィンブルドン,ニック・キリオス,1.0,5,圭,×,2,o,,Do,40,15,Deuce,0,1
155,81,201807ウィンブルドン,ニック・キリオス,1.0,5,圭,○,2,w,144,,40,30,Ad,1,0
156,109,201807ウィンブルドン,ニック・キリオス,1.0,6,霧,○,1,w,186,,0,0,Deuce,1,0
157,110,201807ウィンブルドン,ニック・キリオス,1.0,6,霧,○,1,c,197,,15,0,Ad,1,0
158,111,201807ウィンブルドン,ニック・キリオス,1.0,6,霧,×,1,c,197,,30,0,Deuce,0,1
159,112,201807ウィンブルドン,ニック・キリオス,1.0,6,霧,○,2,n,,Dn,30,15,Ad,1,0
160,113,201807ウィンブルドン,ニック・キリオス,1.0,6,霧,○,2,o,,Do,40,15,Deuce,1,0
161,146,201807ウィンブルドン,ニック・キリオス,1.0,7,圭,○,1,1,167,,0,0,Deuce,1,0
162,147,201807ウィンブルドン,ニック・キリオス,1.0,7,圭,○,1,w,186,,15,0,Ad,1,0
163,148,201807ウィンブルドン,ニック・キリオス,1.0,7,圭,○,1,c,186,,30,0,Deuce,1,0
164,149,201807ウィンブルドン,ニック・キリオス,1.0,7,圭,○,1,w,185,,40,0,Ad,1,0
165,0,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,1,序,×,1,c,,,0,0,Deuce,0,1
166,1,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,1,序,×,2,c,167,,0,15,Ad,0,1
167,2,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,1,序,×,1,c,188,,0,30,Deuce,0,1
168,3,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,1,序,○,1,w,188,,0,40,Ad,1,0
169,4,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,1,序,○,2,b,135,,15,40,Deuce,1,0
170,5,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,1,序,×,1,w,,Aw,30,40,Ad,0,1
171,12,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,2,圭,○,1,c,173,,0,0,Deuce,1,0
172,13,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,2,圭,×,2,w,149,,15,0,Ad,0,1
173,14,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,2,圭,○,1,w,159,,15,15,Deuce,1,0
174,15,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,2,圭,○,2,w,141,,30,15,Ad,1,0
175,16,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,2,圭,○,1,c,173,,40,15,Deuce,1,0
176,28,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,3,序,×,1,c,188,,0,0,Deuce,0,1
177,29,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,3,序,×,2,b,172,,0,15,Ad,0,1
178,30,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,3,序,×,2,w,165,,0,30,Deuce,0,1
179,31,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,3,序,×,1,w,186,,0,40,Ad,0,1
180,47,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,4,圭,×,1,c,167,,0,0,Deuce,0,1
181,48,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,4,圭,×,1,c,172,,0,15,Ad,0,1
182,49,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,4,圭,○,1,w,164,,0,30,Deuce,1,0
183,50,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,4,圭,×,2,w,133,,15,30,Ad,0,1
184,51,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,4,圭,○,1,c,188,,15,40,Deuce,1,0
185,52,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,4,圭,×,1,w,183,,30,40,Ad,0,1
186,74,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,5,序,×,1,w,168,,0,0,Deuce,0,1
187,75,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,5,序,○,2,b,140,,0,15,Ad,1,0
