,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
124,28,201904バルセロナ,ダニール・メドベージェフ,3.0,3,芽,○,1,w,162,,0,0,Deuce,1,0
125,29,201904バルセロナ,ダニール・メドベージェフ,3.0,3,芽,×,1,c,187,,15,0,Ad,0,1
126,30,201904バルセロナ,ダニール・メドベージェフ,3.0,3,芽,○,1,w,,,15,15,Deuce,1,0
127,31,201904バルセロナ,ダニール・メドベージェフ,3.0,3,芽,×,2,w,140,,30,15,Ad,0,1
128,32,201904バルセロナ,ダニール・メドベージェフ,3.0,3,芽,×,1,c,,,30,30,Deuce,0,1
129,33,201904バルセロナ,ダニール・メドベージェフ,3.0,3,芽,×,2,w,134,,30,40,Ad,0,1
130,51,201904バルセロナ,ダニール・メドベージェフ,3.0,4,圭,○,1,w,157,,0,0,Deuce,1,0
131,52,201904バルセロナ,ダニール・メドベージェフ,3.0,4,圭,×,1,c,169,,15,0,Ad,0,1
132,53,201904バルセロナ,ダニール・メドベージェフ,3.0,4,圭,○,1,b,169,,15,15,Deuce,1,0
133,54,201904バルセロナ,ダニール・メドベージェフ,3.0,4,圭,×,1,w,,,30,15,Ad,0,1
134,55,201904バルセロナ,ダニール・メドベージェフ,3.0,4,圭,×,2,w,127,,30,30,Deuce,0,1
135,56,201904バルセロナ,ダニール・メドベージェフ,3.0,4,圭,×,1,w,159,,30,40,Ad,0,1
136,80,201904バルセロナ,ダニール・メドベージェフ,3.0,5,芽,×,1,c,198,,0,0,Deuce,0,1
137,81,201904バルセロナ,ダニール・メドベージェフ,3.0,5,芽,×,1,c,190,,0,15,Ad,0,1
138,82,201904バルセロナ,ダニール・メドベージェフ,3.0,5,芽,×,1,w,,,0,30,Deuce,0,1
139,83,201904バルセロナ,ダニール・メドベージェフ,3.0,5,芽,×,2,b,166,,0,40,Ad,0,1
140,111,201904バルセロナ,ダニール・メドベージェフ,3.0,6,圭,○,1,w,,,0,0,Deuce,1,0
141,112,201904バルセロナ,ダニール・メドベージェフ,3.0,6,圭,×,2,c,158,,15,0,Ad,0,1
142,113,201904バルセロナ,ダニール・メドベージェフ,3.0,6,圭,×,1,c,171,,15,15,Deuce,0,1
143,114,201904バルセロナ,ダニール・メドベージェフ,3.0,6,圭,×,1,c,193,,15,30,Ad,0,1
144,115,201904バルセロナ,ダニール・メドベージェフ,3.0,6,圭,○,1,w,172,,15,40,Deuce,1,0
145,116,201904バルセロナ,ダニール・メドベージェフ,3.0,6,圭,○,1,c,181,,30,40,Ad,1,0
146,117,201904バルセロナ,ダニール・メドベージェフ,3.0,6,圭,×,1,b,178,,40,40,Deuce,0,1
147,118,201904バルセロナ,ダニール・メドベージェフ,3.0,6,圭,○,1,w,154,,40,Ad,Ad,1,0
148,120,201904バルセロナ,ダニール・メドベージェフ,3.0,6,圭,○,1,w,153,,Ad,40,Ad,1,0
149,158,201904バルセロナ,ダニール・メドベージェフ,3.0,7,芽,×,1,w,155,,0,0,Deuce,0,1
150,159,201904バルセロナ,ダニール・メドベージェフ,3.0,7,芽,○,1,c,,,0,15,Ad,1,0
151,160,201904バルセロナ,ダニール・メドベージェフ,3.0,7,芽,○,2,w,,Dw,15,15,Deuce,1,0
152,161,201904バルセロナ,ダニール・メドベージェフ,3.0,7,芽,×,1,w,169,,30,15,Ad,0,1
153,162,201904バルセロナ,ダニール・メドベージェフ,3.0,7,芽,×,1,c,196,,30,30,Deuce,0,1
154,163,201904バルセロナ,ダニール・メドベージェフ,3.0,7,芽,×,1,w,175,,30,40,Ad,0,1
155,207,201904バルセロナ,ダニール・メドベージェフ,3.0,8,圭,×,1,c,,,0,0,Deuce,0,1
156,208,201904バルセロナ,ダニール・メドベージェフ,3.0,8,圭,○,2,c,133,,0,15,Ad,1,0
157,209,201904バルセロナ,ダニール・メドベージェフ,3.0,8,圭,×,1,w,161,,15,15,Deuce,0,1
158,210,201904バルセロナ,ダニール・メドベージェフ,3.0,8,圭,○,1,c,,,15,30,Ad,1,0
159,211,201904バルセロナ,ダニール・メドベージェフ,3.0,8,圭,○,2,c,133,,30,30,Deuce,1,0
160,212,201904バルセロナ,ダニール・メドベージェフ,3.0,8,圭,○,1,b,161,,40,30,Ad,1,0
161,262,201904バルセロナ,ダニール・メドベージェフ,3.0,9,芽,○,1,w,,,0,0,Deuce,1,0
162,263,201904バルセロナ,ダニール・メドベージェフ,3.0,9,芽,×,2,b,134,,15,0,Ad,0,1
163,264,201904バルセロナ,ダニール・メドベージェフ,3.0,9,芽,×,1,c,195,,15,15,Deuce,0,1
164,265,201904バルセロナ,ダニール・メドベージェフ,3.0,9,芽,×,1,b,,,15,30,Ad,0,1
165,266,201904バルセロナ,ダニール・メドベージェフ,3.0,9,芽,○,2,b,139,,15,40,Deuce,1,0
166,267,201904バルセロナ,ダニール・メドベージェフ,3.0,9,芽,○,1,w,186,,30,40,Ad,1,0
167,268,201904バルセロナ,ダニール・メドベージェフ,3.0,9,芽,×,1,w,,,40,40,Deuce,0,1
168,269,201904バルセロナ,ダニール・メドベージェフ,3.0,9,芽,×,2,b,,Db,40,Ad,Ad,0,1
169,329,201904バルセロナ,ダニール・メドベージェフ,3.0,10,圭,○,1,c,182,,0,0,Deuce,1,0
170,330,201904バルセロナ,ダニール・メドベージェフ,3.0,10,圭,○,1,c,,,15,0,Ad,1,0
